Index,Anime Index,Genre
1313,141,Interspecies Relationship
1314,141,Mature Romance
1315,141,Medieval
1316,141,Non-Human Protagonists
1317,141,Based on a Light Novel
1318,142,Comedy
1319,142,Shounen
1320,142,Breaking the Fourth Wall
1321,142,Gag
1322,142,Psychic Powers
1323,142,Supernatural
1324,142,Superpowers
1325,142,Based on a Manga
1326,143,Action
1327,143,Drama
1328,143,Mecha
1329,143,Sci Fi
1330,143,Post-apocalyptic
1331,143,Super Robot
1332,143,Original Work
1333,144,Action
1334,144,Adventure
1335,144,Fantasy
1336,144,Shounen
1337,144,Pirates
1338,144,Superpowers
1339,144,Based on a Manga
1340,145,Action
1341,145,Drama
1342,145,Shounen
1343,145,Sports
1344,145,Boxing
1345,145,Hand to Hand Combat
1346,145,Based on a Manga
1347,146,Action
1348,146,Seinen
1349,146,Gangs
1350,146,Guns
1351,146,Lifestyle Change
1352,146,Mercenaries
1353,146,Based on a Manga
1354,147,Action
1355,147,Comedy
1356,147,Amnesia
1357,147,Assassins
1358,147,Birds
1359,147,Chinese Animation
1360,148,Drama
1361,148,Romance
1362,148,School Life
1363,148,Senpai-Kouhai Relationship
1364,148,Supernatural
1365,148,Based on a Light Novel
1366,149,Comedy
1367,149,Fantasy
1368,149,Romance
