Index,Title,Type,Episodes,Ongoing,Release Season,Start Year,End Year
236,The Tatami Galaxy,"",11,false,Spring,2010-01-01 00:00:00,2010-01-01 00:00:00
237,The Disastrous Life of Saiki K. - Reawakened,Web,6,false,Winter,2019-01-01 00:00:00,2019-01-01 00:00:00
238,Douluo Dalu,Web,26,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
239,Katanagatari,TV,12,false,Winter,2010-01-01 00:00:00,2010-01-01 00:00:00
240,One Piece,TV,929,true,Fall,1999-01-01 00:00:00,
241,Golden Kamuy 2nd Season,TV,12,false,Fall,2018-01-01 00:00:00,2018-01-01 00:00:00
242,Castlevania Season 3,Web,10,false,Winter,2020-01-01 00:00:00,2020-01-01 00:00:00
243,xxxHOLiC Kei,TV,13,false,Spring,2008-01-01 00:00:00,2008-01-01 00:00:00
244,Maid-sama!,TV,26,false,Spring,2010-01-01 00:00:00,2010-01-01 00:00:00
245,Time of Eve,Web,6,false,Summer,2008-01-01 00:00:00,2009-01-01 00:00:00
246,Skip Beat!,TV,25,false,Fall,2008-01-01 00:00:00,2009-01-01 00:00:00
247,Tsubasa Reservoir Chronicle: Tokyo Revelations,OVA,3,false,,2007-01-01 00:00:00,2008-01-01 00:00:00
248,Detective Conan Movie 20: The Darkest Nightmare,Movie,1,false,,2016-01-01 00:00:00,2016-01-01 00:00:00
249,Space Brothers,TV,99,false,Spring,2012-01-01 00:00:00,2014-01-01 00:00:00
250,Ace of the Diamond: Act II,TV,52,false,Spring,2019-01-01 00:00:00,2020-01-01 00:00:00
251,Puella Magi Madoka Magica the Movie Part 2: Eternal,Movie,1,false,,2012-01-01 00:00:00,2012-01-01 00:00:00
252,Fate/stay night: Heaven's Feel I. presage flower,Movie,1,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
253,Natsume's Book of Friends,TV,13,false,Summer,2008-01-01 00:00:00,2008-01-01 00:00:00
254,Keep Your Hands Off Eizouken!,TV,12,false,Winter,2020-01-01 00:00:00,2020-01-01 00:00:00
255,Hunter x Hunter OVA,OVA,8,false,,2002-01-01 00:00:00,2002-01-01 00:00:00
256,Ghost in the Shell: Stand Alone Complex,TV,26,false,Fall,2002-01-01 00:00:00,2003-01-01 00:00:00
257,JoJo's Bizarre Adventure: Stardust Crusaders,TV,24,false,Spring,2014-01-01 00:00:00,2014-01-01 00:00:00
258,History's Strongest Disciple Kenichi,TV,50,false,Fall,2006-01-01 00:00:00,2007-01-01 00:00:00
259,xxxHOLiC Rou,OVA,2,false,,2010-01-01 00:00:00,2011-01-01 00:00:00
260,Shelter,Music Video,1,false,,2016-01-01 00:00:00,2016-01-01 00:00:00
261,Berserk: Golden Age Arc III - The Advent,Movie,1,false,,2013-01-01 00:00:00,2013-01-01 00:00:00
