Index,Anime Index,Status,Viewers,Rating
706,178,Dropped,328,4.431
707,179,Watched,16872,4.432
708,179,Watching,1407,4.432
709,179,To-Watch,5609,4.432
710,179,Dropped,310,4.432
711,180,Watched,5842,4.432
712,180,Watching,84,4.432
713,180,To-Watch,1879,4.432
714,180,Dropped,10,4.432
715,181,Watched,6073,4.431
716,181,Watching,105,4.431
717,181,To-Watch,1166,4.431
718,181,Dropped,65,4.431
719,182,Watched,130,4.349
720,182,Watching,44,4.349
721,182,To-Watch,1604,4.349
722,182,Dropped,4,4.349
723,183,Watched,27575,4.431
724,183,Watching,1967,4.431
725,183,To-Watch,8904,4.431
726,183,Dropped,442,4.431
727,184,Watched,7823,4.429
728,184,Watching,512,4.429
729,184,To-Watch,3052,4.429
730,184,Dropped,233,4.429
731,185,Watched,44152,4.428
732,185,Watching,5912,4.428
733,185,To-Watch,20001,4.428
734,185,Dropped,2513,4.428
735,186,Watched,3857,4.427
736,186,Watching,246,4.427
737,186,To-Watch,1132,4.427
738,186,Dropped,60,4.427
739,187,Watched,6282,4.426
740,187,Watching,1553,4.426
741,187,To-Watch,4836,4.426
742,187,Dropped,95,4.426
743,188,Watched,12948,4.425
744,188,Watching,460,4.425
745,188,To-Watch,8471,4.425
746,188,Dropped,87,4.425
747,189,Watched,4521,4.423
748,189,Watching,336,4.423
749,189,To-Watch,2858,4.423
750,189,Dropped,283,4.423
751,190,Watched,58954,4.423
752,190,Watching,4858,4.423
753,190,To-Watch,10954,4.423
754,190,Dropped,1634,4.423
755,191,Watched,3400,4.423
756,191,Watching,373,4.423
757,191,To-Watch,2693,4.423
758,191,Dropped,109,4.423
759,192,Watched,1626,4.425
760,192,Watching,254,4.425
761,192,To-Watch,2694,4.425
762,192,Dropped,13,4.425
763,193,Watched,17982,4.422
764,193,Watching,1112,4.422
765,193,To-Watch,10788,4.422
766,193,Dropped,950,4.422
767,194,Watched,19640,4.421
768,194,Watching,1459,4.421
769,194,To-Watch,8065,4.421
770,194,Dropped,296,4.421
771,195,Watched,31558,4.421
772,195,Watching,282,4.421
773,195,To-Watch,10129,4.421
774,195,Dropped,128,4.421
775,196,Watched,7112,4.421
776,196,Watching,777,4.421
777,196,To-Watch,5735,4.421
778,196,Dropped,225,4.421
779,197,Watched,36367,4.419
780,197,Watching,211,4.419
781,197,To-Watch,7261,4.419
782,197,Dropped,99,4.419
783,198,Watched,6830,4.419
784,198,Watching,178,4.419
785,198,To-Watch,3066,4.419
786,198,Dropped,20,4.419
787,199,Watched,7268,4.419
788,199,Watching,1371,4.419
789,199,To-Watch,7455,4.419
790,199,Dropped,857,4.419
791,200,Watched,5170,4.418
792,200,Watching,202,4.418
793,200,To-Watch,1116,4.418
794,200,Dropped,58,4.418
795,201,Watched,2820,4.418
796,201,Watching,539,4.418
797,201,To-Watch,3432,4.418
798,201,Dropped,181,4.418
799,202,Watched,26902,4.417
