Index,Anime Index,Warning
1356,1111,None
1357,1112,None
1358,1113,None
1359,1114,Animal Abuse
1360,1114,Explicit Violence
1361,1114,Mature Themes
1362,1115,None
1363,1116,None
1364,1117,None
1365,1118,None
1366,1119,None
1367,1120,None
1368,1121,None
1369,1122,None
1370,1123,Sexual Content
1371,1124,None
1372,1125,None
1373,1126,None
1374,1127,None
1375,1128,None
1376,1129,None
1377,1130,None
1378,1131,None
1379,1132,None
1380,1133,None
1381,1134,None
1382,1135,None
1383,1136,Drug Use
1384,1136,Explicit Violence
1385,1136,Mature Themes
1386,1136,Physical Abuse
1387,1136,Prostitution
1388,1136,Sexual Content
1389,1137,None
1390,1138,None
1391,1139,None
1392,1140,None
1393,1141,None
1394,1142,None
1395,1143,Nudity
1396,1144,None
1397,1145,None
1398,1146,Violence
1399,1147,None
1400,1148,None
1401,1149,Explicit Violence
1402,1150,None
1403,1151,None
1404,1152,None
1405,1153,None
1406,1154,Mature Themes
1407,1154,Physical Abuse
1408,1155,None
1409,1156,Drug Use
1410,1156,Explicit Sex
1411,1156,Explicit Violence
1412,1156,Mature Themes
1413,1156,Physical Abuse
1414,1156,Sexual Abuse
1415,1157,None
1416,1158,Explicit Violence
1417,1158,Nudity
1418,1159,None
1419,1160,None
1420,1161,None
1421,1162,None
1422,1163,Nudity
1423,1164,None
1424,1165,None
1425,1166,None
1426,1167,None
1427,1168,None
1428,1169,None
1429,1170,None
1430,1171,None
1431,1172,None
1432,1173,Violence
1433,1174,None
1434,1175,None
1435,1176,None
1436,1177,None
1437,1178,Sexual Content
1438,1179,None
1439,1180,Violence
1440,1181,None
1441,1182,None
1442,1183,None
1443,1184,None
1444,1185,None
1445,1186,None
1446,1187,Animal Abuse
1447,1187,Drug Use
1448,1187,Explicit Sex
1449,1187,Explicit Violence
1450,1187,Mature Themes
1451,1187,Physical Abuse
1452,1188,None
1453,1189,None
1454,1190,None
1455,1191,None
1456,1192,Violence
1457,1193,None
1458,1194,Violence
1459,1195,None
1460,1196,None
1461,1197,Sexual Content
1462,1198,None
1463,1199,None
1464,1200,None
1465,1201,None
1466,1202,None
1467,1203,None
1468,1204,None
1469,1205,None
1470,1206,None
1471,1207,None
1472,1208,None
1473,1209,None
1474,1210,None
1475,1211,None
1476,1212,None
1477,1213,None
1478,1214,Nudity
1479,1215,None
1480,1216,Violence
1481,1217,None
1482,1218,None
1483,1219,None
1484,1220,Drug Use
1485,1220,Mature Themes
1486,1221,None
1487,1222,None
1488,1223,None
1489,1224,None
1490,1225,None
1491,1226,None
1492,1227,None
1493,1228,Mature Themes
1494,1228,Sexual Abuse
1495,1228,Sexual Content
1496,1228,Suicide
1497,1228,Violence
1498,1229,None
1499,1230,None
1500,1231,None
1501,1232,None
1502,1233,None
1503,1234,None
1504,1235,Nudity
1505,1236,None
1506,1237,Mature Themes
1507,1238,Violence
